Ablennes hians
Abudefduf saxatilus
Acantharchus pomotis
Acanthocybium solandri
Acanthostracion quadricornis
Acanthurus bahianus
Acanthurus coeruleus
Achirus lineatus
Acipenser oxyrhynchus
Acipenser oxyrinchus
Aetobatus narinari
Albula vulpes
Alectis ciliaris
Alopias vulpinus
Alosa aestivalis
Alosa mediocris
Alosa pseudoharengus
Alosa sapidissima
Aluterus schoepfi
Aluterus schoepfii
Ameiurus catus
Ameiurus natalis
Ameiurus nebulosus
Ammodytes americanus
Ammodytes dubius
Anarhichas lupus
Anchoa hepsetus
Anchoa lyolepis
Anchoa mitchilli
Anguilla rostrata
Antennarius striatus
Anthias woodsi
Apeltes quadracus
Aphredoderus sayanus
Archosargus probatocephalus
Archosargus rhomboidalis
Aspidophoroides monopterygius
Astroscopus guttatus
Auxis thazard
Bagre marinus
Bairdiella chrysoura
Balistes capriscus
Balistes vetula
Bathytoshia centroura
Benthosema glaciale
Benthosema suborbitale
Bothus robinsi
Brama brama
Bregmaceros atlanticus
Brevoortia tyrannus
Brosme brosme
Caranx bartholomaei
Caranx crysos
Caranx hippos
Caranx ignobilis
Caranx latus
Carcharhinus brevipinna
Carcharhinus falciformis
Carcharhinus leucas
Carcharhinus limbatus
Carcharhinus plumbeus
Carcharias taurus
Carcharodon carcharias
Caulolatilus cyanops
Centrolophus niger
Centropristis striata
Ceratoscopelus warmingi
Cetorhinus maximus
Chaetodipterus faber
Chaetodon capistratus
Chaetodon ocellatus
Chaetodon striatus
Chasmodes bosquianus
Chaunax stigmaeus
Chilomycterus antillarum
Chilomycterus atinga
Chilomycterus schoepfi
Chilomycterus schoepfii
Chloroscombrus chrysurus
Citharichthys arctifrons
Citharichthys cornutus
Citharichthys gymnorhinus
Citharichthys spilopterus
Clupea harengus
Conger oceanicus
Coryphaena hippurus
Cubiceps baxteri
Cyclopterus lumpus
Cynoscion nebulosus
Cynoscion regalis
Cyprinodon variegatus
Cypselurus comatus
Cypselurus exciliens
Cypselurus furcatus
Cypselurus melanurus
Dactylopterus volitans
Dasyatis americana
Dasyatis sabina
Decapterus macarellus
Decapterus punctatus
Diapterus auratus
Diodon hystrix
Diogenichthys atlanticus
Diplodus holbrooki
Dormitator maculatas
Dormitator maculatus
Echeneis naucrates
Echeneis neucratoides
Elops saurus
Enchelyopus cimbrius
Engraulis eurystole
Enneacanthus gloriosus
